"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"5395",5395,FIAT 500C 0.9 Twinair Turbo S,12900,04.2017,80'900,105,Handschaltung,Benzin,8620 Wetzikon,2023-11-22,FIAT ,500C ,500C 0.9 ,,FALSE
"5396",5396,MERCEDES-BENZ E 280 Business Automatic,21900,12.1995,249'500,193,Automatikgetriebe,Benzin,8620 Wetzikon,2023-11-22,MERCEDES-BENZ ,E ,E 280 ,,FALSE
"5397",5397,SKODA FABIA 1.5 TSI Style DSG,28990,Vorführmodell,2'500,150,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,SKODA ,FABIA ,FABIA 1.5 ,,FALSE
"5398",5398,AUDI RS3 2.5 TSI quattro S-tronic,37900,05.2016,103'000,367,Automatikgetriebe,Benzin,6760 Faido,2023-11-22,AUDI ,RS3 ,RS3 2.5 ,,FALSE
"5399",5399,CUPRA FORMENTOR 2.0 TSI VZ Tribe Edition DSG,48900,Vorführmodell,5'000,245,Automatikgetriebe,Benzin,8952 Schlieren,2023-11-22,CUPRA ,FORMENTOR ,FORMENTOR 2.0 ,,FALSE
"5400",5400,FORD Puma 1.0 EcoB Hybrid 125 ST-Line X,33343,Neues Fahrzeug,4,125,Automatikgetriebe,Benzin,8952 Schlieren,2023-11-22,FORD ,Puma ,Puma 1.0 ,,FALSE
"5401",5401,MINI Countryman Co S AWD Highl,50000,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,9016 St.Gallen,2023-11-22,MINI ,Countryman ,Countryman Co ,,FALSE
"5402",5402,AUDI SQ7 TFSI quattro tiptronic,83900,12.2020,54'900,507,Automatikgetriebe,Benzin,2074 Marin-Epagnier,2023-11-22,AUDI ,SQ7 ,SQ7 TFSI ,,FALSE
"5403",5403,AUDI S3 Sportback 2.0 TFSI quattro S-tronic,33200,03.2018,49'500,310,Automatikgetriebe,Benzin,9410 Heiden,2023-11-22,AUDI ,S3 ,S3 Sportback ,,FALSE
"5404",5404,SUZUKI Vitara 1.4 Boosterjet Compact Top Automatic,22900,09.2019,35'000,140,Automatikgetriebe,Benzin,1305 Penthalaz,2023-11-22,SUZUKI ,Vitara ,Vitara 1.4 ,,FALSE
