"",V1,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"471",471,HYUNDAI i20 1.2 Comfort,6900,08.2013,88'500,86,Handschaltung,Benzin,8340 Hinwil,2023-11-18,HYUNDAI ,i20 ,i20 1.2 ,,FALSE
"472",472,BMW 520d xDrive 48V M Sport Steptronic,84900,Neues Fahrzeug,10,197,Automatikgetriebe,Diesel,8048 Zürich,2023-11-18,BMW ,520d ,520d xDrive ,,FALSE
"473",473,FORD MUSTANG,34900,03.1969,57'900,155,Automatikgetriebe,Benzin,9220 Bischofszell,2023-11-18,FORD ,"","",,FALSE
"474",474,CUPRA Ateca 2.0TSI 4Drive,38900,08.2021,17'400,300,Automatikgetriebe,Benzin,8370 Sirnach,2023-11-18,CUPRA ,Ateca ,Ateca 2.0TSI ,,FALSE
"475",475,SUZUKI Vitara 1.4 Boosterjet Compact +  Hybrid,25900,Tageszulassung,100,129,Handschaltung,Hybrid,7000 Chur,2023-11-18,SUZUKI ,Vitara ,Vitara 1.4 ,,FALSE
"476",476,SUZUKI S-Cross 1.4 16V Compact+ MHD 4WD,26900,Tageszulassung,100,129,Handschaltung,Benzin,7000 Chur,2023-11-18,SUZUKI ,S-Cross ,S-Cross 1.4 ,,FALSE
"477",477,SKODA Superb 1.8 TSI Ambition 4x4,11500,10.2011,102'300,160,Handschaltung,Benzin,8340 Hinwil,2023-11-18,SKODA ,Superb ,Superb 1.8 ,,FALSE
"478",478,FERRARI 488 GTB Vossen,234000,10.2015,16'700,670,Automatikgetriebe,Benzin,8048 Zürich,2023-11-18,FERRARI ,488 ,488 GTB ,,FALSE
"479",479,MERCEDES-BENZ B 200 Night Star,31900,10.2020,28'000,163,Automatikgetriebe,Benzin,2022 Bevaix,2023-11-18,MERCEDES-BENZ ,B ,B 200 ,,FALSE
"480",480,SKODA Enyaq iV 80x RS,63980,10.2023,5'000,299,Automatikgetriebe,Elektro,4147 Aesch,2023-11-18,SKODA ,Enyaq ,Enyaq iV ,,FALSE
"481",481,AUDI S3 Sportback 2.0 TFSI quattro S-tronic,38000,10.2018,65'077,310,Automatikgetriebe,Benzin,6596 Gordola,2023-11-18,AUDI ,S3 ,S3 Sportback ,,FALSE
"482",482,MERCEDES-BENZ GLC 300 d AMG Line 4Matic 9G-Tronic,48500,10.2019,60'000,245,Automatikgetriebe,Diesel,4419 Lupsingen,2023-11-18,MERCEDES-BENZ ,GLC ,GLC 300 ,,FALSE
"483",483,AUSTIN-HEALEY 3000,81000,07.1959,53'900,0,Handschaltung,Benzin,4142 Münchenstein,2023-11-18,AUSTIN-HEALEY ,"","",,FALSE
"484",484,TOYOTA LAND CRUISER HDJ100,38900,04.2004,299'000,205,Automatikgetriebe,Diesel,2552 Orpund,2023-11-18,TOYOTA ,LAND ,LAND CRUISER ,,FALSE
"485",485,MERCEDES-BENZ CLA 250 e AMG Line 8G-DCT,55000,09.2022,20'000,217,Automatikgetriebe,Hybrid,6900 Paradiso,2023-11-18,MERCEDES-BENZ ,CLA ,CLA 250 ,,FALSE
"486",486,BMW 740i,22500,07.1999,221'500,286,Automatikgetriebe,Benzin,8405 Winterthur,2023-11-18,BMW ,"","",,FALSE
"487",487,MERCEDES-BENZ GLC Coupé 43 AMG 4Matic 9G-Tronic,39900,07.2018,99'000,367,Automatikgetriebe,Benzin,8166 Niederweningen,2023-11-18,MERCEDES-BENZ ,GLC ,GLC Coupé ,,FALSE
"488",488,BMW 325d Cabriolet Steptronic,15000,12.2008,138'200,280,Automatikgetriebe,Diesel,2610 St-Imier,2023-11-18,BMW ,325d ,325d Cabriolet ,,FALSE
"489",489,VW T4,17900,07.1997,210'000,102,Handschaltung,Diesel,8406 Winterthur,2023-11-18,VW ,"","",,FALSE
"490",490,AUDI A4 Avant 40 TDI Design quattro S-tronic,25500,02.2019,86'000,190,Automatikgetriebe,Diesel,1854 leysin,2023-11-18,AUDI ,A4 ,A4 Avant ,,FALSE
"491",491,TOYOTA Camry 2.5 HSD e-CVT Premium,51000,Neues Fahrzeug,25,217,Automatikgetriebe,Hybrid,8880 Walenstadt / SG,2023-11-18,TOYOTA ,Camry ,Camry 2.5 ,,FALSE
"492",492,TOYOTA Land Cruiser 2.8TD Active,47000,03.2023,14'500,204,Handschaltung,Diesel,8880 Walenstadt / SG,2023-11-18,TOYOTA ,Land ,Land Cruiser ,,FALSE
"493",493,SKODA Octavia Combi 2.0 TDI DSG Ambition 4x4,43950,Neues Fahrzeug,150,150,Automatikgetriebe,Diesel,3714 Frutigen,2023-11-18,SKODA ,Octavia ,Octavia Combi ,,FALSE
"494",494,VW Golf Variant 2.0 TSI R-Line DSG 4Motion,51950,Neues Fahrzeug,150,191,Automatikgetriebe,Benzin,3714 Frutigen,2023-11-18,VW ,Golf ,Golf Variant ,,FALSE
"495",495,MERCEDES-BENZ GLE 450 d 4Matic AMG Line 9G-Tronic,122250,Neues Fahrzeug,100,367,Automatikgetriebe,Diesel,8620 Wetzikon & 8645 Rapperswil-Jona,2023-11-18,MERCEDES-BENZ ,GLE ,GLE 450 ,,FALSE
"496",496,TESLA Model 3 Long Range Dual Motor AWD,34950,01.2020,48'500,491,Automatikgetriebe,Elektro,8835 Feusisberg /Pfäffikon Schwyz /,2023-11-18,TESLA ,Model ,Model 3 ,,FALSE
"497",497,BMW X3 xDrive 48V 20d M Sport,55990,03.2023,18'000,190,Automatikgetriebe,Diesel,8865 Bilten,2023-11-18,BMW ,X3 ,X3 xDrive ,,FALSE
"498",498,LAND ROVER Range Rover Sport D250 3.0D I6 MHEV HSE Automatic,71990,09.2021,65'200,249,Automatikgetriebe,Diesel,8865 Bilten,2023-11-18,LAND ,ROVER ,ROVER Range ,,FALSE
"499",499,LAND ROVER Range Rover Sport D350 3.0 TD6 MHEV Autobography Automatic,129900,06.2023,16'200,351,Automatikgetriebe,Diesel,8865 Bilten,2023-11-18,LAND ,ROVER ,ROVER Range ,,FALSE
"500",500,PORSCHE Macan S PDK,76900,11.2021,51'500,380,Automatikgetriebe,Benzin,8865 Bilten,2023-11-18,PORSCHE ,Macan ,Macan S ,,FALSE
"501",501,FIAT 1500 Spider,27900,04.1965,26'000,0,Handschaltung,Benzin,3012 Bern,2023-11-18,FIAT ,1500 ,1500 ,,FALSE
"502",502,MERCEDES-BENZ S 500 L 4Matic 7G-Tronic,13800,01.2007,178'000,388,Automatikgetriebe,Benzin,6260 Reiden,2023-11-18,MERCEDES-BENZ ,S ,S 500 ,,FALSE
"503",503,CHEVROLET Corvette 5.7 Convertible,19990,09.1993,46'455,246,Automatikgetriebe,Benzin,9442 Berneck,2023-11-18,CHEVROLET ,Corvette ,Corvette 5.7 ,,FALSE
"504",504,AUDI A6 Avant 40 TDI Sport quattro S-tronic,64900,08.2020,60'000,204,Automatikgetriebe,Diesel,6340 Baar,2023-11-18,AUDI ,A6 ,A6 Avant ,,FALSE
"505",505,VW Käfer 1300,48000,04.1968,300,44,Handschaltung,Benzin,8932 Mettmenstetten,2023-11-18,VW ,Käfer ,Käfer ,,FALSE
"506",506,MASERATI Biturbo 2.5,15800,12.1985,61'000,181,Handschaltung,Benzin,8500 Frauenfeld,2023-11-18,MASERATI ,Biturbo ,Biturbo ,,FALSE
"507",507,MERCEDES-BENZ 560 SEL,22500,07.1986,144'000,242,Automatikgetriebe,Benzin,8173 Neerach,2023-11-18,MERCEDES-BENZ ,560 ,560 ,,FALSE
"508",508,MERCEDES-BENZ SL 350,27000,09.2003,33'000,245,Automatikgetriebe,Benzin,8259 Kaltenbach,2023-11-18,MERCEDES-BENZ ,SL ,SL ,,FALSE
"509",509,JAGUAR XK120,145000,01.1952,5'800,,Handschaltung,"",8200 Schaffhausen,2023-11-18,JAGUAR ,"","",,FALSE
"510",510,LAND ROVER Defender 110 SW 2.5 Td5 Black Edition,30500,08.2006,160'000,122,Handschaltung,Diesel,1095 Lutry,2023-11-18,LAND ,ROVER ,ROVER Defender ,,FALSE
"511",511,AUDI Q5 2.0 TDI sport quattro S-tronic,32900,11.2018,100'643,190,Automatikgetriebe,Diesel,4143 Dornach,2023-11-18,AUDI ,Q5 ,Q5 2.0 ,,FALSE
"512",512,BMW X1 sDrive 18i Steptronic M Sport DSK,34900,10.2021,31'500,136,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-18,BMW ,X1 ,X1 sDrive ,,FALSE
"513",513,AUDI RSQ8  quattro tiptronic,149900,05.2022,25'900,600,Automatikgetriebe,Benzin,6467 Schattdorf,2023-11-18,AUDI ,RSQ8 ,RSQ8  ,,FALSE
"514",514,BMW X6 xDrive 40d Steptronic,34900,09.2015,149'300,313,Automatikgetriebe,Diesel,6343 Holzhäusern,2023-11-18,BMW ,X6 ,X6 xDrive ,,FALSE
"515",515,MERCEDES-BENZ C 43 AMG 4Matic,49900,01.2019,69'800,390,Automatikgetriebe,Benzin,3930 Visp,2023-11-18,MERCEDES-BENZ ,C ,C 43 ,,FALSE
"516",516,VW ID.3 Pro Performance 58kWh 1ST Max,34900,09.2020,25'000,204,Automatikgetriebe,Elektro,6760 Faido,2023-11-18,VW ,ID.3 ,ID.3 Pro ,,FALSE
"517",517,AUDI Q3 45 TFSI S line quattro S-tronic,46900,08.2019,49'100,230,Automatikgetriebe,Benzin,6760 Faido,2023-11-18,AUDI ,Q3 ,Q3 45 ,,FALSE
"518",518,BMW M135i xDrive,65500,Neues Fahrzeug,100,306,Automatikgetriebe,Benzin,7323 Wangs,2023-11-18,BMW ,M135i ,M135i ,,FALSE
"519",519,FORD Fiesta 1.6 EcoB ST-2,11990,02.2014,113'456,182,Handschaltung,Benzin,8547 Gachnang,2023-11-18,FORD ,Fiesta ,Fiesta 1.6 ,,FALSE
"520",520,FORD Kuga 2.0 TDCi Titanium S 4WD PowerShift,15980,10.2014,111'000,163,Automatikgetriebe,Diesel,8262 Ramsen,2023-11-18,FORD ,Kuga ,Kuga 2.0 ,,FALSE
"521",521,PORSCHE Panamera Turbo 4.8 PDK Techart Grand GT,99000,02.2010,73'999,600,Automatikgetriebe,Benzin,6340 Baar,2023-11-18,PORSCHE ,Panamera ,Panamera Turbo ,,FALSE
"522",522,MERCEDES-BENZ SLK 200 Kompressor Final Edition,20900,11.2004,33'700,163,Handschaltung,Benzin,6234 Triengen,2023-11-18,MERCEDES-BENZ ,SLK ,SLK 200 ,,FALSE
"523",523,RADICAL RXC Turbo,380000,12.2015,1'800,431,Handschaltung,Benzin,6000 Luzern,2023-11-18,RADICAL ,RXC ,RXC ,,FALSE
"524",524,PORSCHE Panamera GTS 4.8 PDK,79900,12.2015,42'000,441,Automatikgetriebe,Benzin,3011 Bern,2023-11-18,PORSCHE ,Panamera ,Panamera GTS ,,FALSE
"525",525,PORSCHE 928,22000,02.1979,145'000,241,Automatikgetriebe,Benzin,6832 Seseglio,2023-11-18,PORSCHE ,"","",,FALSE
"526",526,BMW M3 Coupé,49900,03.2002,200'000,343,Automatikgetriebe,Benzin,3322 Urtenen- Schönbühl,2023-11-18,BMW ,M3 ,M3 ,,FALSE
"527",527,MG MGF 1.8i,7150,05.1999,128'000,120,Handschaltung,Benzin,8302 Kloten,2023-11-18,MG ,MGF ,MGF ,,FALSE
"528",528,AUSTIN-HEALEY,18500,02.1972,12'300,58,Handschaltung,Benzin,3235 Erlach,2023-11-18,"","","",,FALSE
"529",529,CITROEN C3 1.6 16V BlueHDi Attraction,8800,07.2015,105'972,75,Handschaltung,Diesel,6340 Baar,2023-11-18,CITROEN ,C3 ,C3 1.6 ,,FALSE
"530",530,CITROEN C1 1.0 e-VTi Stop&Start Feel,6900,04.2016,83'500,69,Handschaltung,Benzin,6340 Baar,2023-11-18,CITROEN ,C1 ,C1 1.0 ,,FALSE
"531",531,VOLVO XC60 2.4 D5 Mom. R-Design AWD S/S,25990,06.2016,105'400,220,Automatikgetriebe,Diesel,4613 Rickenbach,2023-11-18,VOLVO ,XC60 ,XC60 2.4 ,,FALSE
"532",532,BMW M850i xDrive,77900,03.2020,35'200,530,Automatikgetriebe,Benzin,3172 Bern-Niederwangen,2023-11-18,BMW ,M850i ,M850i ,,FALSE
"533",533,BMW 750Ld xDrive,69900,03.2019,92'100,400,Automatikgetriebe,Diesel,"5317 Hettenschwil, Gibriststrasse 5",2023-11-18,BMW ,750Ld ,750Ld ,,FALSE
"534",534,FIAT 500 e C Swiss Edition,36790,Tageszulassung,100,118,Automatikgetriebe,Elektro,3000 Bern,2023-11-18,FIAT ,500 ,500 e ,,FALSE
"535",535,BMW X5 xDrive45e M Sport,88900,03.2022,30'200,394,Automatikgetriebe,Hybrid,8645 Rapperswil-Jona,2023-11-18,BMW ,X5 ,X5 xDrive45e ,,FALSE
"536",536,NISSAN Juke 1.6 FHEV N-Connecta,33250,09.2023,3'000,141,Automatikgetriebe,Hybrid,1227 Carouge (GE),2023-11-18,NISSAN ,Juke ,Juke 1.6 ,,FALSE
"537",537,MERCEDES-BENZ GLC 300 AMG Line 4Matic,59900,05.2022,47'000,258,Automatikgetriebe,Benzin,1227 Genève-Carouge,2023-11-18,MERCEDES-BENZ ,GLC ,GLC 300 ,,FALSE
"538",538,AUDI A4 Avant 2.0 TDI multitronic,20900,01.2015,75'000,150,Automatikgetriebe,Diesel,7310 Bad Ragaz,2023-11-18,AUDI ,A4 ,A4 Avant ,,FALSE
"539",539,AUDI Q5 55 TFSI e PHEV S line quattro S-tronic,94100,Neues Fahrzeug,30,367,Automatikgetriebe,Hybrid,7310 Bad Ragaz,2023-11-18,AUDI ,Q5 ,Q5 55 ,,FALSE
"540",540,MERCEDES-BENZ S 580 4Matic Maybach First Class 9G-Tronic,286400,Neues Fahrzeug,100,503,Automatikgetriebe,Benzin,8302 Kloten,2023-11-18,MERCEDES-BENZ ,S ,S 580 ,,FALSE
"541",541,AUDI A6 Avant 3.0 TFSI V6 quattro S-tronic,21900,12.2014,278'000,333,Automatikgetriebe,Benzin,8233 Bargen,2023-11-18,AUDI ,A6 ,A6 Avant ,,FALSE
"542",542,ASTON MARTIN V8 Vantage 4.7 S Sportshift,84000,02.2017,3'000,437,Automatikgetriebe,Benzin,8844 Euthal,2023-11-18,ASTON ,MARTIN ,MARTIN V8 ,,FALSE
"543",543,ROLLS-ROYCE Limousine,95000,07.1933,99'999,0,Handschaltung,Benzin,5426 Lengnau AG,2023-11-18,ROLLS-ROYCE ,"","",,FALSE
"544",544,TESLA Roadster Sport,129000,12.2010,17'172,290,Automatikgetriebe,Elektro,9470 Buchs SG,2023-11-18,TESLA ,Roadster ,Roadster ,,FALSE
"545",545,BMW X5 xDrive 30d Steptronic,34500,03.2016,98'100,258,Automatikgetriebe,Diesel,4954 Wyssachen,2023-11-18,BMW ,X5 ,X5 xDrive ,,FALSE
"546",546,PORSCHE 356 S T6,154500,01.1962,90'000,75,Handschaltung,Benzin,3600 Thun,2023-11-18,PORSCHE ,356 ,356 S ,,FALSE
"547",547,VW T-Roc 2.0 TDI SCR Sport DSG 4Motion,28750,12.2017,60'000,150,Automatikgetriebe,Diesel,6986 Miglieglia,2023-11-18,VW ,T-Roc ,T-Roc 2.0 ,,FALSE
"548",548,MERCEDES-BENZ 230 Kleine Heckflosse,25000,04.1967,13'100,0,Handschaltung,Benzin,5452 Oberrohrdorf,2023-11-18,MERCEDES-BENZ ,230 ,230 Kleine ,,FALSE
"549",549,MERCEDES-BENZ GLE Coupé 43 AMG 4Matic 9G-Tronic,69000,02.2019,30'000,390,Automatikgetriebe,Benzin,4450 Sissach,2023-11-18,MERCEDES-BENZ ,GLE ,GLE Coupé ,,FALSE
"550",550,"PUCH Steyr Puch Haflinger, Frisch ab MFK, Frisch ab Service!",19999,08.1968,26'200,24,Handschaltung,Benzin,6472 Erstfeld,2023-11-18,PUCH ,Steyr ,Steyr Puch ,,FALSE
"551",551,FIAT 500 1.4 16V T. Abarth SS,27900,11.2020,28'800,160,Handschaltung,Benzin,1260 Nyon,2023-11-18,FIAT ,500 ,500 1.4 ,,FALSE
"552",552,SKODA KAROQ 1.5 TSI Style DSG,22890,02.2018,106'100,150,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-18,SKODA ,KAROQ ,KAROQ 1.5 ,,FALSE
"553",553,MINI CLUBMAN F54 2.0i Cooper S,20890,05.2016,76'600,192,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-18,MINI ,CLUBMAN ,CLUBMAN F54 ,,FALSE
"554",554,MERCEDES-BENZ CLA 220 d Urban Shooting Brake,26890,01.2018,59'300,177,Automatikgetriebe,Diesel,9542 Münchwilen,2023-11-18,MERCEDES-BENZ ,CLA ,CLA 220 ,,FALSE
"555",555,VW Scirocco 2.0 TSI DSG,18900,09.2014,118'100,220,Automatikgetriebe,Benzin,8712 Stäfa,2023-11-18,VW ,Scirocco ,Scirocco 2.0 ,,FALSE
"556",556,BMW X5 xDrive 48V 30d M Sport Steptronic,78900,07.2021,31'600,285,Automatikgetriebe,Diesel,5014 Gretzenbach,2023-11-18,BMW ,X5 ,X5 xDrive ,,FALSE
"557",557,VW Golf 2.0 TDI Comfortline 4Motion,19900,11.2016,94'600,150,Handschaltung,Diesel,1920 Martigny,2023-11-18,VW ,Golf ,Golf 2.0 ,,FALSE
"558",558,CUPRA Ateca 2.0TSI Inicio 4Drive DSG,48900,Neues Fahrzeug,35,190,Automatikgetriebe,Benzin,6010 Kriens LU,2023-11-18,CUPRA ,Ateca ,Ateca 2.0TSI ,,FALSE
"559",559,SKODA Kodiaq 2.0 TDI CR SportLine 4x4 DSG,63200,Neues Fahrzeug,10,200,Automatikgetriebe,Diesel,9050 Appenzell,2023-11-18,SKODA ,Kodiaq ,Kodiaq 2.0 ,,FALSE
"560",560,SKODA Enyaq Coupé RS iV 80 4x4,61980,Neues Fahrzeug,10,299,Automatikgetriebe,Elektro,9050 Appenzell,2023-11-18,SKODA ,Enyaq ,Enyaq Coupé ,,FALSE
"561",561,"MERCEDES-BENZ Sprinter 317, 9 Plätzer",70767,Neues Fahrzeug,50,170,Automatikgetriebe,Diesel,6252 Dagmersellen,2023-11-18,MERCEDES-BENZ ,Sprinter ,"Sprinter 317, ",,FALSE
"562",562,PORSCHE 911 Targa 4 GTS PDK,219992,Neues Fahrzeug,100,480,Automatikgetriebe,Benzin,8832 Wollerau,2023-11-18,PORSCHE ,911 ,911 Targa ,,FALSE
"563",563,PORSCHE 911 Targa 3.2l,127700,07.1985,109'000,207,Handschaltung,Benzin,"8832 Wollerau, Roosstrasse 49",2023-11-18,PORSCHE ,911 ,911 Targa ,,FALSE
"564",564,SKODA Superb Combi 2.0 TDi Business 4x4 DSG,10500,07.2014,219'300,170,Automatikgetriebe,Diesel,8340 Hinwil,2023-11-18,SKODA ,Superb ,Superb Combi ,,FALSE
"565",565,SUBARU Forester 2.0i Swiss Plus Lineartronic,24900,09.2019,63'500,150,Automatikgetriebe,Benzin,1004 LAUSANNE,2023-11-18,SUBARU ,Forester ,Forester 2.0i ,,FALSE
"566",566,MERCEDES-BENZ A 180 Edition,24590,09.2019,35'000,136,Handschaltung,Benzin,8800 Thalwil,2023-11-18,MERCEDES-BENZ ,A ,A 180 ,,FALSE
"567",567,PORSCHE 911 Turbo S Cabriolet,233500,10.2020,17'000,650,Automatikgetriebe,Benzin,8008 Zürich,2023-11-18,PORSCHE ,911 ,911 Turbo ,,FALSE
"568",568,FIAT 500 1.0 N3 MildHybrid Swiss Edition,18990,Neues Fahrzeug,100,70,Handschaltung,Benzin,8620 Wetzikon & 8645 Rapperswil-Jona,2023-11-18,FIAT ,500 ,500 1.0 ,,FALSE
"569",569,PORSCHE CAYENNE E-HYBRID Coupé,99900,02.2020,32'900,462,Automatikgetriebe,Hybrid,8835 Feusisberg,2023-11-18,PORSCHE ,CAYENNE ,CAYENNE E-HYBRID ,,FALSE
"570",570,PORSCHE 911 GT3 mit Touring-Paket,253911,08.2023,500,510,Handschaltung,Benzin,8835 Feusisberg,2023-11-18,PORSCHE ,911 ,911 GT3 ,,FALSE
"571",571,HYUNDAI i20 1.0 T-GDi Vertex 48V MH DCT,29900,Vorführmodell,1'500,120,Automatikgetriebe,Benzin,6340 Baar,2023-11-18,HYUNDAI ,i20 ,i20 1.0 ,,FALSE
"572",572,MINI Clubman Cooper S ALL4 Steptronic,52900,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,1806 St-Légier-Chiésaz,2023-11-18,MINI ,Clubman ,Clubman Cooper ,,FALSE
"573",573,BMW i7 eDrive 50,144000,Neues Fahrzeug,10,456,Automatikgetriebe,Elektro,1726 Farvagny-le-Grand,2023-11-18,BMW ,i7 ,i7 eDrive ,,FALSE
"574",574,BMW 120d xDrive Steptronic M Sport,55500,Neues Fahrzeug,10,190,Automatikgetriebe,Diesel,1726 Farvagny-le-Grand,2023-11-18,BMW ,120d ,120d xDrive ,,FALSE
"575",575,BMW 120d xDrive Steptronic M Sport,55500,Neues Fahrzeug,10,190,Automatikgetriebe,Diesel,1726 Farvagny-le-Grand,2023-11-18,BMW ,120d ,120d xDrive ,,FALSE
"576",576,BMW 118i M Sport Steptronic,45100,Neues Fahrzeug,10,136,Automatikgetriebe,Benzin,1726 Farvagny-le-Grand,2023-11-18,BMW ,118i ,118i M ,,FALSE
"577",577,BMW X1 xDrive 23i 48V M Sport,64600,Vorführmodell,2'000,204,Automatikgetriebe,Benzin,1726 Farvagny-le-Grand,2023-11-18,BMW ,X1 ,X1 xDrive ,,FALSE
"578",578,VW Golf Variant 2.0 TSI R DSG 4Motion,43500,03.2022,18'500,320,Automatikgetriebe,Benzin,8404 Winterthur,2023-11-18,VW ,Golf ,Golf Variant ,,FALSE
"579",579,CITROEN C3 Aircross 1.2 PureTech 130 Swiss Edition Automat,21860,04.2022,21'125,131,Automatikgetriebe,Benzin,8570 Weinfelden,2023-11-18,CITROEN ,C3 ,C3 Aircross ,,FALSE
"580",580,BMW iX1 xDrive 30 M Sport,69900,Neues Fahrzeug,10,272,Automatikgetriebe,Elektro,8750 Glarus,2023-11-18,BMW ,iX1 ,iX1 xDrive ,,FALSE
"581",581,FORD Fiesta 1300 Ghia,22900,09.1981,101'000,75,Handschaltung,Benzin,9404 Rorschacherberg,2023-11-18,FORD ,Fiesta ,Fiesta 1300 ,,FALSE
"582",582,BMW 335i GT Modern Line Steptronic,16500,05.2014,140'500,306,Automatikgetriebe,Benzin,9230 Flawil,2023-11-18,BMW ,335i ,335i GT ,,FALSE
"583",583,RENAULT Espace 1.8 TCe Intens EDC,25000,06.2018,52'000,224,Automatikgetriebe,Benzin,1227 Carouge,2023-11-18,RENAULT ,Espace ,Espace 1.8 ,,FALSE
"584",584,AUDI S4 Avant 3.0 TFSI quattro S-tronic,19000,12.2013,228'000,333,Automatikgetriebe,Benzin,5000 Aarau,2023-11-18,AUDI ,S4 ,S4 Avant ,,FALSE
"585",585,ASTON MARTIN DB9 Volante Touchtronic 2,77700,01.2011,16'000,476,Automatikgetriebe,Benzin,5605 Dottikon,2023-11-18,ASTON ,MARTIN ,MARTIN DB9 ,,FALSE
"586",586,JAGUAR F-Pace 2.0d R-Sport AWD Automatik,41500,04.2018,62'000,180,Automatikgetriebe,Diesel,6828 Balerna,2023-11-18,JAGUAR ,F-Pace ,F-Pace 2.0d ,,FALSE
"587",587,LAND ROVER Discovery 3.0 SDV6 SE Automatic,23400,10.2012,175'000,256,Automatikgetriebe,Diesel,9494 Schaan,2023-11-18,LAND ,ROVER ,ROVER Discovery ,,FALSE
"588",588,MERCEDES-BENZ A 180 Urban,16900,12.2015,89'000,122,Handschaltung,Benzin,5462 Siglistorf,2023-11-18,MERCEDES-BENZ ,A ,A 180 ,,FALSE
"589",589,MERCURY Comet,23000,07.1964,38'000,105,Handschaltung,Benzin,4663 Aarburg,2023-11-18,MERCURY ,"","",,FALSE
"590",590,MERCEDES-BENZ C 220 BlueTEC AMG Line 7G-Tronic,19900,07.2015,90'000,170,Automatikgetriebe,Diesel,8048 Zürich,2023-11-18,MERCEDES-BENZ ,C ,C 220 ,,FALSE
"591",591,LAND ROVER Disco. Sp. P200 Si4 SE,49800,Neues Fahrzeug,50,200,Automatikgetriebe,Benzin,8051 Zürich,2023-11-18,LAND ,ROVER ,ROVER Disco. ,,FALSE
"592",592,BMW X5 xDrive 48V 30d M Sport,77500,10.2022,6'200,285,Automatikgetriebe,Diesel,8051 Zürich,2023-11-18,BMW ,X5 ,X5 xDrive ,,FALSE
"593",593,NISSAN Leaf 2ZeroEdition(in.batt,20900,09.2019,18'000,150,Automatikgetriebe,Elektro,1227 Genève-Carouge,2023-11-18,NISSAN ,Leaf ,Leaf ,,FALSE
"594",594,BMW M135i xDrive,39500,09.2022,5'800,306,Automatikgetriebe,Benzin,8051 Zürich,2023-11-18,BMW ,M135i ,M135i ,,FALSE
"595",595,FERRARI 812 Superfast,366000,01.2020,3'500,796,Automatikgetriebe,Benzin,9063 Stein,2023-11-18,FERRARI ,812 ,812 ,,FALSE
"596",596,AUDI Q3 2.0 TDI sport quattro S-tronic,22000,05.2016,50'500,184,Automatikgetriebe,Diesel,8008 Zürich,2023-11-18,AUDI ,Q3 ,Q3 2.0 ,,FALSE
"597",597,BMW X3 xDrive 48V 20d M Sport,74500,Neues Fahrzeug,10,190,Automatikgetriebe,Diesel,8833 Samstagern,2023-11-18,BMW ,X3 ,X3 xDrive ,,FALSE
"598",598,BMW iX3 Impressive,81600,Neues Fahrzeug,10,286,Automatikgetriebe,Elektro,8833 Samstagern,2023-11-18,BMW ,iX3 ,iX3 ,,FALSE
"599",599,BMW 530d xDrive 48V Touring M Sport Pro Steptronic,99300,Neues Fahrzeug,10,286,Automatikgetriebe,Diesel,8833 Samstagern,2023-11-18,BMW ,530d ,530d xDrive ,,FALSE
"600",600,BMW iX3 Impressive,82200,Neues Fahrzeug,10,286,Automatikgetriebe,Elektro,8833 Samstagern,2023-11-18,BMW ,iX3 ,iX3 ,,FALSE
"601",601,FORD Explorer 3.0 V6 Plug-in Hybrid ST-Line,74790,09.2022,20'000,363,Automatikgetriebe,Hybrid,8587 Oberaach,2023-11-18,FORD ,Explorer ,Explorer 3.0 ,,FALSE
"602",602,BMW 530d xDrive Touring Steptronic,10900,09.2012,267'900,258,Automatikgetriebe,Diesel,8854 Siebnen,2023-11-18,BMW ,530d ,530d xDrive ,,FALSE
"603",603,OPEL Mokka e Ultimate,39900,Neues Fahrzeug,20,136,Automatikgetriebe,Elektro,1523 Granges-Marnand,2023-11-18,OPEL ,Mokka ,Mokka e ,,FALSE
"604",604,SKODA Octavia Combi 2.0 TDI L&K 4x4 DSG,22900,12.2017,72'000,184,Automatikgetriebe,Diesel,8907 Wettswil,2023-11-18,SKODA ,Octavia ,Octavia Combi ,,FALSE
"605",605,SKODA Enyaq Coupé RS iV 80 4x4,49900,12.2022,6'500,299,Automatikgetriebe,Elektro,8907 Wettswil,2023-11-18,SKODA ,Enyaq ,Enyaq Coupé ,,FALSE
"606",606,SKODA Karoq 1.5 TSI ACT Style DSG,27400,05.2019,64'500,150,Automatikgetriebe,Benzin,8907 Wettswil,2023-11-18,SKODA ,Karoq ,Karoq 1.5 ,,FALSE
"607",607,VW Tiguan 2.0 TDI BlueMotion R-Line 4Motion DSG,19990,07.2016,89'400,150,Automatikgetriebe,Diesel,1162 Eysins,2023-11-18,VW ,Tiguan ,Tiguan 2.0 ,,FALSE
"608",608,VW Touareg 3.0 TDI R Line Tiptronic,49900,06.2018,47'800,286,Automatikgetriebe,Diesel,8233 Bargen (SH)  (35 min von Zürich),2023-11-18,VW ,Touareg ,Touareg 3.0 ,,FALSE
