"",V1,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"6762",6762,OPEL Astra GTC 2.0i 16V Turbo OPC,38500,01.2018,16'000,280,Handschaltung,Benzin,5430 Wettingen,2023-11-18,OPEL ,Astra ,Astra GTC ,,FALSE
"6763",6763,BMW 216d Active Tourer Steptronic,13900,02.2016,133'000,116,Automatikgetriebe,Diesel,1297 Founex,2023-11-18,BMW ,216d ,216d Active ,,FALSE
"6764",6764,PUCH PUCH GE 230,29900,05.1995,78'900,116,Automatikgetriebe,Benzin,8274 Tägerwilen,2023-11-18,PUCH ,PUCH ,PUCH GE ,,FALSE
"6765",6765,VW Scirocco 2.0 TSI DSG,15900,02.2011,69'000,255,Automatikgetriebe,Benzin,7015 Tamins,2023-11-18,VW ,Scirocco ,Scirocco 2.0 ,,FALSE
"6766",6766,VW T6.1 Caravelle 2.0 TDI Highline DSG,65000,05.2022,18'000,150,Automatikgetriebe,Diesel,3284 Fräschels,2023-11-18,VW ,T6.1 ,T6.1 Caravelle ,,FALSE
"6767",6767,MERCEDES-BENZ C 300 d AMG Line Cabriolet 9G-Tronic,49990,08.2019,32'000,245,Automatikgetriebe,Diesel,9000 St Gallen,2023-11-18,MERCEDES-BENZ ,C ,C 300 ,,FALSE
"6768",6768,JEEP Jeep CJ-7 Renegade V8 B/C Automatic,42000,10.1978,52'000,120,Automatikgetriebe,Benzin,6900 Lugano,2023-11-18,JEEP ,Jeep ,Jeep CJ-7 ,,FALSE
"6769",6769,PLYMOUTH P20 DeLuxe,27500,06.1952,85'000,97,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-18,PLYMOUTH ,P20 ,P20 ,,FALSE
"6770",6770,FIAT 500L,22800,09.1971,86'000,18,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-18,FIAT ,"","",,FALSE
"6771",6771,CUPRA LEON ST 1.4 e-HYBRID pHEV VZ DSG,50600,Vorführmodell,4'000,245,Automatikgetriebe,Hybrid,5417 Untersiggenthal,2023-11-18,CUPRA ,LEON ,LEON ST ,,FALSE
"6772",6772,VW ID.3 PA Pro S Tour (ED),54800,Neues Fahrzeug,25,204,Automatikgetriebe,Elektro,8754 Netstal,2023-11-18,VW ,ID.3 ,ID.3 PA ,,FALSE
"6773",6773,"HONDA Ny1 Advance, Leasing Aktion ab 0.99 % inkl. Winterräder",48480,Neues Fahrzeug,10,204,Automatikgetriebe,Elektro,8112 Otelfingen,2023-11-18,HONDA ,Ny1 ,"Ny1 Advance, ",,FALSE
"6774",6774,MERCEDES-BENZ A 45 AMG 4Matic Speedshift 7G-DCT,25990,07.2013,90'000,360,Automatikgetriebe,Benzin,8494 Bauma,2023-11-18,MERCEDES-BENZ ,A ,A 45 ,,FALSE
"6775",6775,VOLVO XC60 B4 Diesel Mild Hybrid AWD Ultimate Dark Geartronic,78630,Neues Fahrzeug,30,197,Automatikgetriebe,Diesel,9500 Wil,2023-11-18,VOLVO ,XC60 ,XC60 B4 ,,FALSE
"6776",6776,RENAULT Clio 2.0 16V Sport,4500,07.2007,251'000,197,Handschaltung,Benzin,9535 Wilen bei Wil,2023-11-18,RENAULT ,Clio ,Clio 2.0 ,,FALSE
"6777",6777,BENTLEY Continental GT Speed 6.0 W12,119900,10.2015,51'000,635,Automatikgetriebe,Benzin,9466 Sennwald,2023-11-18,BENTLEY ,Continental ,Continental GT ,,FALSE
